TFSC	Finance
1347 Capital Corp.	Finance
TFSCR	Finance
1347 Capital Corp.	Finance
TFSCU	unspecified-company
1347 Capital Corp.	unspecified-company
TFSCW	Finance
1347 Capital Corp.	Finance
PIH	Finance
1347 Property Insurance Holdings, Inc.	Finance
FLWS	Consumer Services
1-800 FLOWERS.COM, Inc.	Consumer Services
FCTY	Finance
1st Century Bancshares, Inc	Finance
FCCY	Finance
1st Constitution Bancorp (NJ)	Finance
SRCE	Finance
1st Source Corporation	Finance
FUBC	Finance
1st United Bancorp, Inc. (FL)	Finance
VNET	Technology
21Vianet Group, Inc.	Technology
TWOU	Technology
2U, Inc.	Technology
DGLD	Finance
3X Inverse Gold ETN Velocityshares	Finance
JOBS	Technology
51job, Inc.	Technology
EGHT	Public Utilities
8x8 Inc	Public Utilities
AVHI	Capital Goods
A V Homes, Inc.	Capital Goods
SHLM	Basic Industries
A. Schulman, Inc.	Basic Industries
AAON	Capital Goods
AAON, Inc.	Capital Goods
ASTM	Health Care
Aastrom Biosciences, Inc.	Health Care
ABAX	Capital Goods
ABAXIS, Inc.	Capital Goods
ABY	Public Utilities
Abengoa Yield plc	Public Utilities
ABGB	Consumer Services
Abengoa, S.A.	Consumer Services
ABMD	Health Care
ABIOMED, Inc.	Health Care
AXAS	Energy
Abraxas Petroleum Corporation	Energy
ACTG	Miscellaneous
Acacia Research Corporation	Miscellaneous
ACHC	Health Care
Acadia Healthcare Company, Inc.	Health Care
ACAD	Health Care
ACADIA Pharmaceuticals Inc.	Health Care
ACST	Health Care
Acasti Pharma, Inc.	Health Care
AXDX	Capital Goods
Accelerate Diagnostics, Inc.	Capital Goods
XLRN	Health Care
Acceleron Pharma Inc.	Health Care
ANCX	Finance
Access National Corporation	Finance
ARAY	Health Care
Accuray Incorporated	Health Care
ACRX	Health Care
AcelRx Pharmaceuticals, Inc.	Health Care
ACET	Consumer Durables
Aceto Corporation	Consumer Durables
AKAO	Health Care
Achaogen, Inc.	Health Care
ACHN	Health Care
Achillion Pharmaceuticals, Inc.	Health Care
ACIW	Technology
ACI Worldwide, Inc.	Technology
ACNB	Finance
ACNB Corporation	Finance
ACOR	Health Care
Acorda Therapeutics, Inc.	Health Care
ACFN	Consumer Services
Acorn Energy, Inc.	Consumer Services
ACTS	Technology
Actions Semiconductor Co., Ltd.	Technology
ACPW	Public Utilities
Active Power, Inc.	Public Utilities
ATVI	Technology
Activision Blizzard, Inc	Technology
ACTA	unspecified-company
Actua Corporation	unspecified-company
BIRT	Technology
Actuate Corporation	Technology
ACUR	Health Care
Acura Pharmaceuticals, Inc.	Health Care
ACXM	Technology
Acxiom Corporation	Technology
ADMS	Health Care
Adamas Pharmaceuticals, Inc.	Health Care
ADMP	Health Care
Adamis Pharmaceuticals Corporation	Health Care
ADUS	Health Care
Addus HomeCare Corporation	Health Care
AEY	Consumer Services
ADDvantage Technologies Group, Inc.	Consumer Services
ADEP	Technology
Adept Technology, Inc.	Technology
ADBE	Technology
Adobe Systems Incorporated	Technology
ADTN	Public Utilities
ADTRAN, Inc.	Public Utilities
ADES	Basic Industries
Advanced Emissions Solutions, Inc.	Basic Industries
AEIS	Capital Goods
Advanced Energy Industries, Inc.	Capital Goods
ADXS	Health Care
Advaxis, Inc.	Health Care
ADXSW	Health Care
Advaxis, Inc.	Health Care
ADVS	Technology
Advent Software, Inc.	Technology
MULT	unspecified-company
AdvisorShares Sunrise Global Multi-Strategy ETF	unspecified-company
YPRO	unspecified-company
AdvisorShares YieldPro ETF	unspecified-company
AEGR	Health Care
Aegerion Pharmaceuticals, Inc.	Health Care
AEGN	Basic Industries
Aegion Corp	Basic Industries
AEHR	Capital Goods
Aehr Test Systems	Capital Goods
AMTX	Basic Industries
Aemetis, Inc	Basic Industries
AEPI	Capital Goods
AEP Industries Inc.	Capital Goods
AERI	Health Care
Aerie Pharmaceuticals, Inc.	Health Care
AVAV	Capital Goods
AeroVironment, Inc.	Capital Goods
AEZS	Health Care
AEterna Zentaris Inc.	Health Care
ATRM	Capital Goods
Aetrium Incorporated	Capital Goods
AFMD	unspecified-company
Affimed N.V.	unspecified-company
AFFX	Capital Goods
Affymetrix, Inc.	Capital Goods
AGEN	Health Care
Agenus Inc.	Health Care
AGRX	Health Care
Agile Therapeutics, Inc.	Health Care
AGYS	Technology
Agilysys, Inc.	Technology
AGIO	Health Care
Agios Pharmaceuticals, Inc.	Health Care
AIRM	Transportation
Air Methods Corporation	Transportation
AIRT	Transportation
Air T, Inc.	Transportation
ATSG	Transportation
Air Transport Services Group, Inc	Transportation
AMCN	Technology
AirMedia Group Inc	Technology
AIXG	Technology
Aixtron SE	Technology
AKAM	Miscellaneous
Akamai Technologies, Inc.	Miscellaneous
AKBA	Health Care
Akebia Therapeutics, Inc.	Health Care
AKER	Health Care
Akers Biosciences Inc	Health Care
AKRX	Health Care
Akorn, Inc.	Health Care
ALSK	Public Utilities
Alaska Communications Systems Group, Inc.	Public Utilities
AMRI	Health Care
Albany Molecular Research, Inc.	Health Care
ABDC	unspecified-company
Alcentra Capital Corp.	unspecified-company
ALCS	Consumer Services
ALCO Stores, Inc.	Consumer Services
ADHD	Health Care
Alcobra Ltd.	Health Care
ALDR	Health Care
Alder BioPharmaceuticals, Inc.	Health Care
ALDX	Health Care
Aldeyra Therapeutics, Inc.	Health Care
ALXN	Health Care
Alexion Pharmaceuticals, Inc.	Health Care
ALXA	Health Care
Alexza Pharmaceuticals, Inc.	Health Care
ALCO	Consumer Non-Durables
Alico, Inc.	Consumer Non-Durables
ALGN	Health Care
Align Technology, Inc.	Health Care
ALIM	Health Care
Alimera Sciences, Inc.	Health Care
ALKS	Health Care
Alkermes plc	Health Care
ALGT	Transportation
Allegiant Travel Company	Transportation
ALLB	Finance
Alliance Bancorp, Inc. of Pennsylvania	Finance
AFOP	Technology
Alliance Fiber Optic Products, Inc.	Technology
AIQ	Health Care
Alliance HealthCare Services, Inc.	Health Care
AHGP	Energy
Alliance Holdings GP, L.P.	Energy
ARLP	Energy
Alliance Resource Partners, L.P.	Energy
AHPI	Health Care
Allied Healthcare Products, Inc.	Health Care
AMOT	Capital Goods
Allied Motion Technologies, Inc.	Capital Goods
ALQA	Health Care
Alliqua, Inc.	Health Care
ALLT	Technology
Allot Communications Ltd.	Technology
MDRX	Technology
Allscripts Healthcare Solutions, Inc.	Technology
AFAM	Health Care
Almost Family Inc	Health Care
ALNY	Health Care
Alnylam Pharmaceuticals, Inc.	Health Care
AOSL	Technology
Alpha and Omega Semiconductor Limited	Technology
ATEC	Health Care
Alphatec Holdings, Inc.	Health Care
ALTR	Technology
Altera Corporation	Technology
ASPS	Consumer Services
Altisource Portfolio Solutions S.A.	Consumer Services
APSA	Consumer Services
Alto Palermo S.A.	Consumer Services
AIMC	Capital Goods
Altra Industrial Motion Corp.	Capital Goods
AMAG	Health Care
AMAG Pharmaceuticals, Inc.	Health Care
AMRN	Health Care
Amarin Corporation PLC	Health Care
AMRK	Basic Industries
A-Mark Precious Metals, Inc.	Basic Industries
AMZN	Consumer Services
Amazon.com, Inc.	Consumer Services
AMBC	Finance
Ambac Financial Group, Inc.	Finance
AMBCW	Finance
Ambac Financial Group, Inc.	Finance
AMBA	Technology
Ambarella, Inc.	Technology
