ASELLACRIN 2	drug
DISOMER	drug
SODIUM BICARBONATE	drug
PILOCARPINE HYDROCHLORIDE	drug
POTASSIUM CHLORIDE 0.15% IN SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER	drug
HEPARIN SODIUM 12,500 UNITS IN DEXTROSE 5%	drug
VINORELBINE TARTRATE	drug
DEXTROSE 5%, SODIUM CHLORIDE 0.33% AND POTASSIUM CHLORIDE 5MEQ IN PLASTIC CONTAINER	drug
MPI DTPA KIT - CHELATE	drug
ABELCET	drug
E-Z PREP 220	drug
PANWARFIN	drug
SCLEROSOL	drug
TRIDERM	drug
MENTAX-TC	drug
POTASSIUM CHLORIDE 0.075% IN DEXTROSE 5% AND SODIUM CHLORIDE 0.33% IN PLASTIC CONTAINER	drug
CORGARD	drug
COMTAN	drug
TREST	drug
TRANXENE SD	drug
TRANSDERM-NITRO	drug
AMPHOTEC	drug
VEETIDS '250'	drug
DEXTROSE 5% AND SODIUM CHLORIDE 0.33% IN PLASTIC CONTAINER	drug
HYDRO-RX	drug
NOVOLIN R	drug
QUESTRAN	drug
COPEGUS	drug
NIASPAN TITRATION STARTER PACK	drug
LESCOL XL	drug
MARCAINE HYDROCHLORIDE	drug
NOVAMINE 15% SULFITE FREE IN PLASTIC CONTAINER	drug
CITANEST PLAIN	drug
MESTINON	drug
ZONALON	drug
ALBUTEROL SULFATE	drug
HYDRODIURIL	drug
NARDIL	drug
TRASICOR	drug
CHLORDIAZACHEL	drug
ACETAMINOPHEN, ASPIRIN AND CAFFEINE	drug
DYNACIN	drug
ORTHO-NOVUM 1/80 21	drug
LORAZ	drug
CELESTONE SOLUSPAN	drug
ACULAR	drug
DOXIL	drug
VIOKACE	drug
PROSOM	drug
TRIHEXYPHENIDYL HYDROCHLORIDE	drug
SILVADENE	drug
ALOXI	drug
REQUIP	drug
SERTRALINE HYDROCHLORIDE	drug
NEO TECT KIT	drug
DELFLEX W/ DEXTROSE 3.5% IN PLASTIC CONTAINER	drug
IBUPROFEN AND DIPHENHYDRAMINE CITRATE	drug
DEXTROSE 5% IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER	drug
CYANOKIT	drug
AMINOSYN II 4.25% M IN DEXTROSE 10% IN PLASTIC CONTAINER	drug
LATANOPROST	drug
SODIUM FERRIC GLUCONATE COMPLEX IN SUCROSE	drug
STRATTERA	drug
ANUSOL HC	drug
METOCURINE IODIDE	drug
NICODERM CQ	drug
MYKINAC	drug
OVIDREL	drug
ASBRON	drug
EZETIMIBE	drug
OMEGA-3-ACID ETHYL ESTERS	drug
DEXTROSE 38.5% IN PLASTIC CONTAINER	drug
INSTANT MICROSPHERES	drug
NEBUPENT	drug
HEXASCRUB	drug
A.P.L.	drug
MYCELEX-G	drug
EPROSARTAN MESYLATE	drug
DIASTAT ACUDIAL	drug
ALPHAZINE	drug
MEMANTINE HYDROCHLORIDE	drug
NUTRACORT	drug
TIMOLIDE 10-25	drug
FLUOTHANE	drug
PROMPT PHENYTOIN SODIUM	drug
RENOVUE-DIP	drug
NORITATE	drug
VECURONIUM BROMIDE	drug
FLUCONAZOLE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER	drug
STARLIX	drug
CELEXA	drug
CEFOTAXIME SODIUM	drug
ONDANSETRON HYDROCHLORIDE AND DEXTROSE IN PLASTIC CONTAINER	drug
LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE; NEVIRAPINE	drug
CAM-METRAZINE	drug
ESGIC-PLUS	drug
ROZEREM	drug
SIVEXTRO	drug
AZO GANTRISIN	drug
CAPEX	drug
ALEVE PM	drug
DIFLUCAN IN DEXTROSE 5% IN PLASTIC CONTAINER	drug
ISOLYTE S IN PLASTIC CONTAINER	drug
INPERSOL-ZM W/ DEXTROSE 1.5% IN PLASTIC CONTAINER	drug
CORTIFOAM	drug
PROMETHAZINE VC W/ CODEINE	drug
XALKORI	drug
GLUMETZA	drug
